axis_a,axis_b,benchmark,expected_direction,expected_sign,cross_asym_median,sign_consensus,correct
CD30L,IL-17A,strict,a_to_b,1,0.0052,0.71,True
GM-CSF,TL1A,strict,a_to_b,1,0.0194,0.78,True
IFN-lambda1,IL-6,strict,a_to_b,1,0.0407,0.94,True
IFN-omega,IL-15,strict,a_to_b,1,0.1307,0.94,True
IL-15,VEGF,strict,a_to_b,1,0.0352,0.59,True
IL-16,IL-6,strict,a_to_b,1,0.0195,0.88,True
IL-36-alpha,IL-9,strict,a_to_b,1,0.0169,0.83,True
IL-36-alpha,VEGF,strict,a_to_b,1,0.0120,0.94,True
IL-6,VEGF,strict,a_to_b,1,-0.0227,0.88,False
IL-9,VEGF,strict,a_to_b,1,0.0002,0.53,True
IFN-gamma,IFN-omega,strict,b_to_a,-1,-0.0646,0.94,True
IFN-gamma,IL-2,strict,b_to_a,-1,-0.0006,0.56,True
IL-13,TL1A,strict,b_to_a,-1,-0.0164,0.83,True
IL-13,VEGF,strict,b_to_a,-1,0.0108,0.76,False
IL-15,IL-2,strict,b_to_a,-1,-0.0007,0.50,True
IL-17A,IL-36-alpha,strict,b_to_a,-1,-0.0028,0.71,True
IL-6,TNF-alpha,strict,b_to_a,-1,-0.0085,0.76,True
IFN-beta,IL-2,weak,a_to_b,1,0.0257,,True
IL-12,IL-9,weak,a_to_b,1,0.0530,,True
IL-35,VEGF,weak,a_to_b,1,0.0110,,True
IL-36-alpha,IL-6,weak,a_to_b,1,0.0319,,True
Decorin,IL-6,weak,b_to_a,-1,0.0179,,False
IL-16,IL-9,weak,b_to_a,-1,0.0109,,False
IL-9,TNF-alpha,weak,b_to_a,-1,0.0065,,False
