condition_a,condition_b,expected_upstream,found,classification,cross_asym_median,called_upstream,cross_correct,directional_score_median,dirscore_correct,null_p,null_pass
A,B,A,True,STRONG,0.04794558882713318,A,True,0.48435696959495544,True,0.3,False
B,C,B,True,STRONG,0.1751154661178589,B,True,0.4510585516691208,True,0.0,True
C,D,C,True,STRONG,0.140691876411438,C,True,0.6153698563575745,True,0.0,True
E,F,E,True,STRONG,0.13141953945159912,E,True,0.4378565549850464,True,0.0,True
F,G,F,True,STRONG,0.07365256547927856,F,True,0.5693152546882629,True,0.07,False
H,I,H,True,STRONG,0.12876015901565552,H,True,0.4076682925224304,True,0.01,True
H,J,H,True,STRONG,0.15293914079666138,H,True,0.5322500020265579,True,0.01,True
H,K,H,True,STRONG,0.10616198182106018,H,True,0.6014811992645264,True,0.07,False
L,N,L,True,STRONG,0.13658294081687927,L,True,0.45837071537971497,True,0.0,True
M,N,M,True,STRONG,0.16641032695770264,M,True,0.5698697865009308,True,0.0,True
