A,B,n_seeds_a_to_b,n_seeds_b_to_a,n_seeds_total,T_distribution_a_to_b,best_T_by_freq,median_relay,known_cascade
IL-2,IL-15,7,1,8,"NK CD56bright:4,CD8 Memory:1,MAIT:1,CD8 Naive:1",NK CD56bright,0.1137390080303885,True
VEGF,Noggin,7,1,8,"CD14 Mono:2,NK CD56bright:2,ILC:1,CD4 Naive:1,CD8 Naive:1",CD14 Mono,0.005716706777602667,False
VEGF,IL-4,7,1,8,"NKT:2,CD4 Naive:1,CD14 Mono:1,MAIT:1,NK CD56bright:1,CD16 Mono:1",NKT,4.300965722797405e-05,False
APRIL,CD30L,6,0,6,"CD14 Mono:2,NK CD56bright:1,CD4 Naive:1,MAIT:1,CD8 Naive:1",CD14 Mono,0.01049091353122094,False
IL-9,CD30L,6,2,8,"MAIT:2,CD14 Mono:2,HSPC:1,CD8 Naive:1",MAIT,0.009814839889323822,False
VEGF,IL-13,6,2,8,"CD4 Naive:2,MAIT:1,CD8 Naive:1,CD16 Mono:1,CD14 Mono:1",CD4 Naive,0.004532000490521568,False
GM-CSF,VEGF,6,1,7,"CD14 Mono:3,MAIT:2,CD4 Naive:1",CD14 Mono,0.004241598715434662,False
APRIL,IL-12,6,1,7,"CD4 Naive:2,NK CD56bright:2,CD14 Mono:1,CD8 Naive:1",CD4 Naive,7.194009734744836e-05,False
IFN-beta,IFN-omega,5,2,7,"CD8 Naive:2,NK CD56bright:1,MAIT:1,NK:1",CD8 Naive,0.14278275915887206,False
VEGF,IL-20,5,1,6,"CD14 Mono:2,ILC:1,CD4 Naive:1,NKT:1",CD14 Mono,0.025132198979392544,False
LT-alpha2-beta1,IL-9,5,1,6,"Treg:2,ILC:1,CD4 Naive:1,MAIT:1",Treg,0.02228125734429341,False
VEGF,IFN-lambda1,5,2,7,"MAIT:2,CD14 Mono:1,CD4 Naive:1,pDC:1",MAIT,0.02221541923703626,False
GM-CSF,IL-27,5,3,8,"MAIT:3,CD4 Naive:2",MAIT,0.02182581769528042,False
VEGF,IL-22,5,1,6,"MAIT:2,CD14 Mono:1,NK CD56bright:1,CD4 Naive:1",MAIT,0.018635097030200994,False
APRIL,VEGF,5,1,6,"CD14 Mono:3,CD4 Naive:1,MAIT:1",CD14 Mono,0.01771214381842583,False
IL-8,Decorin,5,3,8,"CD8 Naive:2,CD14 Mono:1,NK CD56bright:1,Treg:1",CD8 Naive,0.01725549264345318,False
VEGF,IL-9,5,2,7,"Treg:2,MAIT:1,CD14 Mono:1,CD4 Naive:1",Treg,0.016001328512793407,False
IL-27,CD30L,5,3,8,"HSPC:1,ILC:1,CD14 Mono:1,NK CD56bright:1,MAIT:1",HSPC,0.014812751221082483,False
CD30L,VEGF,5,3,8,"MAIT:2,CD14 Mono:2,CD8 Naive:1",MAIT,0.013700344951521401,False
VEGF,IL-6,5,2,7,"CD14 Mono:2,CD8 Naive:1,CD4 Naive:1,MAIT:1",CD14 Mono,0.011975686144269275,False
APRIL,IL-36-alpha,5,1,6,"CD4 Naive:2,CD14 Mono:2,MAIT:1",CD4 Naive,0.011128300865238997,False
IL-27,IL-9,5,2,7,"ILC:1,Plasmablast:1,Treg:1,HSPC:1,CD14 Mono:1",ILC,0.009153560549020768,False
IL-27,Noggin,5,3,8,"CD14 Mono:2,ILC:1,NK CD56bright:1,pDC:1",CD14 Mono,0.008062672962546457,False
IL-6,IL-13,5,1,6,"CD4 Naive:2,MAIT:1,CD8 Naive:1,NKT:1",CD4 Naive,0.007364024628621167,False
Decorin,IL-27,5,1,6,"CD16 Mono:1,CD14 Mono:1,CD4 Naive:1,MAIT:1,CD8 Naive:1",CD16 Mono,0.0060772271910173,False
IL-8,IL-16,5,3,8,"NKT:2,CD8 Naive:2,CD16 Mono:1",NKT,0.005839474842342598,False
APRIL,IL-27,5,2,7,"CD4 Naive:2,MAIT:2,CD14 Mono:1",CD4 Naive,0.004698219417135761,False
IL-19,CD40L,5,1,6,"NK CD56bright:1,CD14 Mono:1,CD4 Naive:1,CD16 Mono:1,CD8 Naive:1",NK CD56bright,0.003990149955147899,False
VEGF,EGF,5,3,8,"NK CD56bright:2,HSPC:1,CD14 Mono:1,CD4 Naive:1",NK CD56bright,0.0025339806939518894,False
Decorin,IL-16,5,3,8,"NKT:2,CD8 Naive:2,CD16 Mono:1",NKT,0.002461126890309515,False
IL-27,IL-13,5,3,8,"CD4 Naive:2,CD16 Mono:1,CD14 Mono:1,NK:1",CD4 Naive,0.002189957790360495,False
C5a,IL-36-alpha,5,1,6,"CD4 Naive:2,CD16 Mono:1,CD14 Mono:1,HSPC:1",CD4 Naive,0.0020509078903660338,False
IL-6,IFN-lambda1,5,0,5,"MAIT:2,CD14 Mono:1,CD4 Naive:1,pDC:1",MAIT,0.0016152991696935714,False
VEGF,IL-21,5,2,7,"CD16 Mono:1,CD14 Mono:1,CD4 Naive:1,NKT:1,CD8 Naive:1",CD16 Mono,0.001458678826193136,False
IL-27,IL-6,5,1,6,"CD14 Mono:2,CD16 Mono:1,CD8 Memory:1,CD4 Naive:1",CD14 Mono,0.0014398839669435403,False
GM-CSF,TL1A,5,2,7,"CD8 Naive:2,NK CD56bright:1,ILC:1,HSPC:1",CD8 Naive,0.001260454990820866,False
IL-9,GITRL,5,0,5,"CD8 Naive:2,NK CD56bright:1,CD14 Mono:1,Plasmablast:1",CD8 Naive,0.0012310472016827134,False
IL-12,VEGF,5,3,8,"CD4 Naive:2,CD14 Mono:1,NKT:1,cDC:1",CD4 Naive,0.0004929390687126514,False
IL-9,IL-16,5,1,6,"CD8 Naive:3,NKT:1,CD14 Mono:1",CD8 Naive,0.0004693016927545912,False
APRIL,IL-4,5,2,7,"MAIT:1,CD14 Mono:1,pDC:1,NK CD56bright:1,NKT:1",MAIT,0.00034495656247450767,False
VEGF,CT-1,5,3,8,"NK CD56bright:2,HSPC:1,CD8 Naive:1,CD4 Naive:1",NK CD56bright,9.862821351688922e-05,False
IL-9,IL-12,5,2,7,"Plasmablast:2,CD8 Naive:2,NK CD56bright:1",Plasmablast,4.5633549328153815e-05,False
IL-36-alpha,TL1A,5,1,6,"CD14 Mono:2,CD8 Naive:2,NK CD56bright:1",CD14 Mono,3.45224843217959e-05,False
