axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-15,IL-2,0.1674953129709415,10,0.0009765625,0.007486979166666667,True,True,True,DIRECTIONAL_b_to_a
IFN-beta,IL-15,0.12358360301055335,10,0.0009765625,0.007486979166666667,True,True,False,
IL-1-beta,IL-15,0.10240579549547124,10,0.0009765625,0.007486979166666667,True,True,False,
IFN-gamma,IL-15,0.08303432826600646,10,0.0009765625,0.007486979166666667,True,True,False,
IFN-omega,IL-15,0.07159830389301415,10,0.001953125,0.011979166666666667,True,True,True,DIRECTIONAL_a_to_b
IFN-beta,IFN-gamma,0.06429304188198369,10,0.0009765625,0.007486979166666667,True,True,False,PARTIAL_INHIBITORY
IFN-gamma,IL-2,0.05869614296471295,10,0.0009765625,0.007486979166666667,True,True,True,DIRECTIONAL_b_to_a
IFN-beta,IL-2,0.05675380214562883,10,0.0009765625,0.007486979166666667,True,True,False,WEAK_a_to_b
IL-1-beta,IL-2,0.05652865447589885,10,0.001953125,0.011979166666666667,True,True,False,
IL-12,IL-15,0.042265081689085646,10,0.0009765625,0.007486979166666667,True,True,False,
IFN-omega,IL-10,0.0395444658058493,10,0.0009765625,0.007486979166666667,True,True,False,
IL-15,TL1A,0.03874276057695565,10,0.00390625,0.019252232142857144,True,True,False,
IFN-beta,IL-1-beta,0.03714840283374424,10,0.0009765625,0.007486979166666667,True,True,False,
Decorin,IL-13,0.02926288884457039,10,0.0009765625,0.007486979166666667,True,True,False,
IFN-gamma,IFN-omega,0.02882696144768725,10,0.0009765625,0.007486979166666667,True,True,True,DIRECTIONAL_b_to_a
Decorin,IL-16,0.028715934644898643,10,0.0009765625,0.007486979166666667,True,True,False,UNKNOWN
CD30L,IL-16,0.026607816528690896,10,0.0009765625,0.007486979166666667,True,True,False,
IL-13,VEGF,0.02627565958739623,10,0.0009765625,0.007486979166666667,True,True,True,DIRECTIONAL_b_to_a
IL-10,IL-36-alpha,0.026022789084716984,10,0.0009765625,0.007486979166666667,True,True,False,
IL-12,TL1A,0.02533740585102983,10,0.0009765625,0.007486979166666667,True,True,False,UNKNOWN
IFN-gamma,IL-1-beta,0.02459674476767364,10,0.0068359375,0.028159981343283583,True,True,False,
IL-13,TGF-beta1,0.02429715076704388,10,0.0029296875,0.01650191326530612,True,True,False,
Decorin,VEGF,0.024058854409857937,10,0.0009765625,0.007486979166666667,True,True,False,PARTIAL_INHIBITORY
GM-CSF,TNF-alpha,0.023579052050152552,10,0.0009765625,0.007486979166666667,True,True,False,
IL-13,IL-9,0.023092295739637766,10,0.0009765625,0.007486979166666667,True,True,False,
Decorin,IL-36-alpha,0.022886238643980542,10,0.001953125,0.011979166666666667,True,True,False,
Decorin,IL-17A,0.022411696912477845,10,0.0009765625,0.007486979166666667,True,True,False,
IL-13,IL-36-alpha,0.022003087458079277,10,0.00390625,0.019252232142857144,True,True,False,
IL-13,IL-16,0.02166122168140567,10,0.0029296875,0.01650191326530612,True,True,False,
IL-17A,IL-36-alpha,0.020741998347575247,10,0.00390625,0.019252232142857144,True,True,True,DIRECTIONAL_b_to_a
IL-12,IL-35,0.02073488820992086,10,0.0009765625,0.007486979166666667,True,True,False,
IL-10,IL-27,0.020327106790374153,10,0.0009765625,0.007486979166666667,True,True,False,
IL-10,VEGF,0.01916679778014836,10,0.013671875,0.049650493421052634,True,True,False,
IFN-beta,IL-10,0.01911986241036135,10,0.060546875,0.172277706185567,False,False,False,
IL-12,IL-9,0.019047138507923354,10,0.001953125,0.011979166666666667,True,True,False,WEAK_a_to_b
IL-16,TGF-beta1,0.01878180073817139,10,0.00390625,0.019252232142857144,True,True,False,
Decorin,IL-6,0.018560226091548154,10,0.0009765625,0.007486979166666667,True,True,False,WEAK_b_to_a
Decorin,IL-10,0.01811708565801382,10,0.0146484375,0.052506087662337664,False,True,False,
IL-36-alpha,VEGF,0.01776369384935369,10,0.0029296875,0.01650191326530612,True,True,True,DIRECTIONAL_a_to_b
IFN-omega,TNF-alpha,0.017700767201250012,10,0.013671875,0.049650493421052634,True,True,False,
