axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-15,IL-2,0.2698404923787893,10,0.0009765625,0.0038504464285714288,True,True,True,DIRECTIONAL_b_to_a
IFN-beta,IL-15,0.21983125315075447,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-1-beta,IL-15,0.17544830600009298,10,0.001953125,0.005674342105263158,True,True,False,
IFN-gamma,IL-15,0.17480999138114567,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,IL-15,0.17063302417959494,10,0.0009765625,0.0038504464285714288,True,True,True,DIRECTIONAL_a_to_b
IL-12,IL-15,0.1292018565680919,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-beta,IL-2,0.12596653607094777,10,0.0009765625,0.0038504464285714288,True,True,False,WEAK_a_to_b
IL-15,TL1A,0.1259602348127519,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-gamma,IL-2,0.12344684377417434,10,0.0009765625,0.0038504464285714288,True,True,True,DIRECTIONAL_b_to_a
IFN-beta,IFN-gamma,0.12325090986798751,10,0.0009765625,0.0038504464285714288,True,True,False,PARTIAL_INHIBITORY
IL-1-beta,IL-2,0.1025621740759525,10,0.001953125,0.005674342105263158,True,True,False,
IL-15,IL-27,0.0950571194800432,10,0.001953125,0.005674342105263158,True,True,False,
IFN-gamma,IFN-omega,0.09054246931860689,10,0.0009765625,0.0038504464285714288,True,True,True,DIRECTIONAL_b_to_a
IFN-omega,IL-10,0.08391238760091073,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,IL-2,0.08163828212654334,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-beta,IL-1-beta,0.077428938474186,10,0.0009765625,0.0038504464285714288,True,True,False,
GM-CSF,IL-15,0.07650560500254505,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-2,TL1A,0.07115696243688582,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-12,TL1A,0.07017069551063468,10,0.0009765625,0.0038504464285714288,True,True,False,UNKNOWN
IFN-beta,IFN-omega,0.06459278520100634,10,0.0009765625,0.0038504464285714288,True,True,False,UNKNOWN
IFN-lambda1,IL-15,0.06246432183583965,10,0.001953125,0.005674342105263158,True,True,False,
IFN-beta,IL-10,0.06068768311511667,10,0.0087890625,0.01956275201612903,True,True,False,
IFN-gamma,IL-1-beta,0.06030742999209906,10,0.001953125,0.005674342105263158,True,True,False,
IL-2,IL-27,0.05670188026310643,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,TNF-alpha,0.055715960832138076,10,0.001953125,0.005674342105263158,True,True,False,
CD30L,IFN-omega,0.05471891707865871,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-gamma,IL-12,0.05459975925250911,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-beta,IL-12,0.053592914461158214,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-15,IL-17A,0.0529615443450166,10,0.001953125,0.005674342105263158,True,True,False,
IL-12,IL-2,0.05241280489176279,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-gamma,IL-27,0.05156338485871674,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-15,TNF-alpha,0.05103795383243413,10,0.03515625,0.0642591059602649,False,True,False,
GM-CSF,IL-2,0.050715453091339444,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-2,TNF-alpha,0.049595958355872424,10,0.0126953125,0.026953125,True,True,False,
IFN-omega,IL-12,0.048465498853431196,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,IL-17A,0.047101477437186984,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-1-beta,IL-12,0.04676739527919563,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-10,IL-27,0.04673442374376464,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,TL1A,0.04640131380253297,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-beta,TL1A,0.04511670677503571,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-lambda1,TL1A,0.04426935911670443,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-beta,TNF-alpha,0.04412425068725133,10,0.0087890625,0.01956275201612903,True,True,False,
IFN-gamma,TL1A,0.043577131109690526,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-12,IL-35,0.04350217648557737,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-15,IL-35,0.04244097333354876,10,0.0078125,0.018273305084745763,True,True,False,
IFN-omega,IL-1-beta,0.041295556504803245,10,0.0029296875,0.008005878712871287,True,True,False,
CD30L,IL-27,0.03989181459305109,10,0.001953125,0.005674342105263158,True,True,False,UNKNOWN
IFN-lambda1,IFN-omega,0.03988582509536354,10,0.0009765625,0.0038504464285714288,True,True,False,
IL-17A,IL-2,0.03929136382523575,10,0.0009765625,0.0038504464285714288,True,True,False,
CD30L,TL1A,0.03928224247897742,10,0.0009765625,0.0038504464285714288,True,True,False,
IFN-omega,TGF-beta1,0.0389684982009785,10,0.0009765625,0.0038504464285714288,True,True,False,
GM-CSF,TNF-alpha,0.03813149902771693,10,0.0009765625,0.0038504464285714288,True,True,False,
