axis_a,axis_b,coupling_raw,coupling_hub,cross_asym,null_p_raw,null_p_hub,pair,is_pos,is_neg,label,coupled_raw,coupled_hub
IFNb,IL15,0.29416191577911377,0.13301393717075838,0.01112300157546997,0.0,0.0,"('IFNb', 'IL15')",False,False,,True,True
IFNb,IFNg,0.2683165669441223,0.10707227671236702,0.061492979526519775,0.0,0.0,"('IFNb', 'IFNg')",True,False,MUST/SHOULD,True,True
IL4,IL6,0.10488402843475342,0.07141740608847502,0.05669891834259033,0.0,0.0,"('IL4', 'IL6')",False,False,,True,True
IFNb,IL18,0.23050880432128906,0.0705916548542904,0.04397916793823242,0.0,0.0,"('IFNb', 'IL18')",False,False,,True,True
IFNg,IL18,0.1757029891014099,0.046270575600140015,-0.052706778049468994,0.0,0.0,"('IFNg', 'IL18')",True,False,MUST/SHOULD,True,True
IL13,TNFa,0.03540191054344177,0.02678351025238182,-0.03800317645072937,0.002,0.0,"('IL13', 'TNFa')",False,False,,True,True
IL13,IL1b,0.010964646935462952,0.022374242431286606,-0.021960929036140442,0.034,0.0,"('IL13', 'IL1b')",False,False,,True,True
IL12,IL4,0.07255534827709198,0.020981628673546235,0.007708385586738586,0.0,0.0,"('IL12', 'IL4')",False,False,,True,True
IL10,IL1b,0.009108752012252808,0.020524973106203652,0.017412692308425903,0.04,0.0,"('IL10', 'IL1b')",False,False,,True,True
IL13,IL6,0.0345291793346405,0.02042432456757083,0.026227742433547974,0.0,0.0,"('IL13', 'IL6')",False,False,,True,True
IL2,IL4,0.06404213607311249,0.016336374549251617,0.028769686818122864,0.0,0.0,"('IL2', 'IL4')",False,False,,True,True
IL10,IL13,0.003415629267692566,0.01542713346354889,0.006716892123222351,0.392,0.0,"('IL10', 'IL13')",False,False,,False,True
IL13,IL4,0.022317945957183838,0.014961056975704254,0.0297202467918396,0.014,0.0,"('IL13', 'IL4')",False,False,,True,True
IFNb,IL1b,0.10428330302238464,0.013825946120601701,0.06531485915184021,0.0,0.0,"('IFNb', 'IL1b')",False,False,,True,True
IL10,IL6,0.027271807193756104,0.013173578024813615,0.02251964807510376,0.0,0.0,"('IL10', 'IL6')",False,False,,True,True
IL12,IL2,0.0855109691619873,0.012950144595268998,-0.02340388298034668,0.0,0.0,"('IL12', 'IL2')",False,False,,True,True
IL10,TNFa,0.019830524921417236,0.011218750228484467,0.01281803846359253,0.02,0.0,"('IL10', 'TNFa')",False,False,,True,True
IFNb,IL2,0.1413375437259674,0.011126597383708664,0.038020700216293335,0.0,0.002,"('IFNb', 'IL2')",False,False,,True,True
IL18,IL2,0.10919085144996643,0.010791781838193085,-0.04145476222038269,0.0,0.0,"('IL18', 'IL2')",False,False,,True,True
IFNg,IL15,0.1396459937095642,0.008982751066937592,-0.04923081398010254,0.0,0.0,"('IFNg', 'IL15')",True,False,MUST/SHOULD,True,True
IL12,IL13,0.040979817509651184,0.008767865485314164,0.0010513216257095337,0.0,0.0,"('IL12', 'IL13')",False,False,,True,True
IL10,IL12,0.04053941369056702,0.008334087264357179,0.002858072519302368,0.0,0.0,"('IL10', 'IL12')",False,True,MUST-NOT,True,True
IL15,IL1b,0.06775251030921936,0.007876200996565094,0.010802417993545532,0.0,0.0,"('IL15', 'IL1b')",False,False,,True,True
