axis_a,axis_b,literature_status,literature_direction,expected_sign,pair_status,benchmark_class,counts_in_benchmark,upstream,original_direction,tag_changed,reason
IFNb,IL15,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IFNg,TYPE1_IFN_PRIME,a_to_b,1,DIRECTIONAL_a_to_b,TYPE1_IFN_PRIME,True,IFNb,a_to_b,False,"Type-I IFN primes NK for IFNg (Nguyen 2002, Mack 2011).  IFNb upstream -> +1.  Distinct pathways IFNAR(STAT1/2) vs IFNGR(STAT1-GAS)."
IL4,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNb,IL18,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IFNg,IL18,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL18,b_to_a,False,IL-18 synergizes with IL-12 to drive NK-cell IFNg (sec 2.7).  IL18 upstream -> -1.
IL13,TNFa,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL12,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL6,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL2,IL4,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL10,IL13,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
IL13,IL4,OVERLAP_STAT6,no_lit,,UNKNOWN,OVERLAP_STAT6,False,,no_lit,False,IL-4 and IL-13 both signal STAT6 via type-II IL-4R; programs overlap heavily; cross_asym sign unreliable.  DESCRIPTIVE.
IFNb,IL1b,UNKNOWN,no_lit,,,,False,,,,"unlabeled pair, added 2026-07-28 to score direction on the coupling candidates"
