axis_a,axis_b,literature_status,literature_direction,expected_sign,cross_median,cross_consensus,cross_n_pos,cross_n_neg,classification,cross_sign_correct,null_n_perms,cross_null_mean,cross_null_q025,cross_null_q975,cross_p_emp_two_sided,dirscore_median,dirscore_consensus,dirscore_sign_correct,dirscore_p_emp_two_sided,dir_n_perms,dir_n_celltypes,dir_null_center,dir_null_q025,dir_null_q975,dir_p_emp,median_score,sign_consensus,sign_correct,error
IFNb,IL15,UNKNOWN,no_lit,,0.013568758964538574,0.6153846153846154,8,5,WEAK,False,100,-0.0028827960789203646,-0.02089758636429906,0.027788275806233286,0.31,0.1204025149345398,0.9230769230769231,False,0.0,0,0,,,,,0.013568758964538574,0.6153846153846154,False,
IFNb,IFNg,TYPE1_IFN_PRIME,a_to_b,1.0,0.07698091864585876,0.8461538461538461,11,2,STRONG,True,100,-0.00160827093757689,-0.016065967082977296,0.026667073834687468,0.0,0.20610997080802917,1.0,True,0.0,0,0,,,,,0.07698091864585876,0.8461538461538461,True,
IL4,IL6,UNKNOWN,no_lit,,0.06230232119560242,0.8333333333333334,10,2,STRONG,False,100,0.002567008985206485,-0.005953256762586534,0.013677115878090245,0.0,-0.03406897187232971,0.6666666666666666,False,0.0,0,0,,,,,0.06230232119560242,0.8333333333333334,False,
IFNb,IL18,UNKNOWN,no_lit,,0.023179322481155396,0.5384615384615384,7,6,WEAK,False,100,-0.0032893660198897124,-0.02379863364621997,0.028681622073054303,0.1,0.22807633876800537,1.0,False,0.0,0,0,,,,,0.023179322481155396,0.5384615384615384,False,
IFNg,IL18,NK_IFNG,b_to_a,-1.0,-0.060588300228118896,0.7692307692307693,3,10,STRONG,True,100,-0.003985858224332332,-0.01882132198661566,0.011069392366334795,0.0,0.03837078809738159,1.0,False,0.0,0,0,,,,,-0.060588300228118896,0.7692307692307693,True,
IL13,TNFa,UNKNOWN,no_lit,,-0.03762999176979065,0.9230769230769231,1,12,STRONG,False,100,-0.0013821242470294238,-0.013777986448258162,0.009157594200223685,0.0,-0.02396152913570404,0.6923076923076923,False,0.0,0,0,,,,,-0.03762999176979065,0.9230769230769231,False,
IL13,IL1b,UNKNOWN,no_lit,,-0.01779426634311676,0.6923076923076923,4,9,WEAK,False,100,0.004120235750451684,-0.007972250320017337,0.016123790480196444,0.03,-0.014576852321624756,0.6153846153846154,False,0.07,0,0,,,,,-0.01779426634311676,0.6923076923076923,False,
IL12,IL4,UNKNOWN,no_lit,,0.005646228790283203,0.5833333333333334,7,5,AMBIGUOUS,False,100,0.001302976864390075,-0.011401247372850776,0.0163903392618522,0.4,0.022051334381103516,0.8333333333333334,False,0.0,0,0,,,,,0.005646228790283203,0.5833333333333334,False,
IL10,IL1b,UNKNOWN,no_lit,,0.0194704532623291,0.6923076923076923,9,4,WEAK,False,100,0.00293773939833045,-0.007447450328618288,0.01314856316894292,0.0,0.01059618592262268,0.8461538461538461,False,0.11,0,0,,,,,0.0194704532623291,0.6923076923076923,False,
IL13,IL6,UNKNOWN,no_lit,,0.022407203912734985,0.9230769230769231,12,1,STRONG,False,100,0.0005807433743029832,-0.00535749071277678,0.006091413088142872,0.0,-0.01126137375831604,0.6153846153846154,False,0.0,0,0,,,,,0.022407203912734985,0.9230769230769231,False,
