axis_a,axis_b,literature_status,literature_direction,expected_sign,cross_median,cross_consensus,cross_n_pos,cross_n_neg,classification,cross_sign_correct,null_n_perms,cross_null_mean,cross_null_q025,cross_null_q975,cross_p_emp_two_sided,dirscore_median,dirscore_consensus,dirscore_sign_correct,dirscore_p_emp_two_sided,median_score,sign_consensus,sign_correct,error
IFNb,IFNg,TYPE1_IFN_PRIME,a_to_b,1.0,0.07698091864585876,0.8461538461538461,11,2,STRONG,True,100,-0.0010914076119661331,-0.018044912628829478,0.02595236003398895,0.0,0.20610997080802917,1.0,True,0.0,0.07698091864585876,0.8461538461538461,True,
IFNg,IL12,BIDIRECTIONAL,bidir,,-0.024668753147125244,0.6923076923076923,4,9,WEAK,False,100,-0.0028439986426383257,-0.01172136478126049,0.007049703691154718,0.0,0.0944739580154419,0.9230769230769231,False,0.0,-0.024668753147125244,0.6923076923076923,False,
IFNg,IL15,NK_IFNG,b_to_a,-1.0,-0.06300705671310425,1.0,0,13,STRONG,True,100,-0.0021471095271408556,-0.016663305182009935,0.0093276284635067,0.0,0.058742016553878784,0.9230769230769231,False,0.0,-0.06300705671310425,1.0,True,
IFNg,IL18,NK_IFNG,b_to_a,-1.0,-0.060588300228118896,0.7692307692307693,3,10,STRONG,True,100,-0.003420724207535386,-0.017082866095006467,0.010549034643918272,0.0,0.03837078809738159,1.0,False,0.0,-0.060588300228118896,0.7692307692307693,True,
IFNg,IL2,NK_IFNG,b_to_a,-1.0,-0.06291067600250244,0.7692307692307693,3,10,STRONG,True,100,-0.001090268800035119,-0.015586574748158454,0.013208761811256397,0.0,0.07318928837776184,1.0,False,0.0,-0.06291067600250244,0.7692307692307693,True,
IFNg,IL4,ANTAGONISM,no_lit,,0.01553007960319519,0.6666666666666666,8,4,WEAK,False,100,0.0002431007195264101,-0.012261654203757643,0.013245100108906617,0.04,0.16715627908706665,1.0,False,0.0,0.01553007960319519,0.6666666666666666,False,
IL10,IL12,ANTAGONISM,no_lit,,-0.004184901714324951,0.6923076923076923,4,9,AMBIGUOUS,False,100,-0.004233692726120353,-0.015087000280618667,0.002980342041701075,0.43,0.013472795486450195,0.6153846153846154,False,0.01,-0.004184901714324951,0.6923076923076923,False,
IL13,IL4,OVERLAP_STAT6,no_lit,,0.023341849446296692,0.75,9,3,STRONG,False,100,-0.002042149221524596,-0.013971281796693802,0.007568075391463934,0.0,0.015675485134124756,0.8333333333333334,False,0.0,0.023341849446296692,0.75,False,
IL15,IL2,OVERLAP_STAT5,no_lit,,0.014719069004058838,0.6923076923076923,9,4,WEAK,False,100,0.002782839071005583,-0.009660762920975684,0.015511342603713268,0.04,0.013679474592208862,0.9230769230769231,False,0.02,0.014719069004058838,0.6923076923076923,False,
IL1b,IL6,NFKB_STAT3,a_to_b,1.0,-0.005664348602294922,0.6153846153846154,5,8,AMBIGUOUS,False,100,-0.003106110580265522,-0.012334250751882792,0.007221458852291103,0.37,-0.012910127639770508,0.5384615384615384,False,0.09,-0.005664348602294922,0.6153846153846154,False,
IL1b,TNFa,OVERLAP_NFKB,no_lit,,0.01848292350769043,0.7692307692307693,10,3,STRONG,False,100,-0.0062580669298768045,-0.021197806904092432,0.013711035950109361,0.05,0.0015673637390136719,0.5384615384615384,False,0.84,0.01848292350769043,0.7692307692307693,False,
IL6,TNFa,NFKB_STAT3,b_to_a,-1.0,-0.022692888975143433,0.8461538461538461,2,11,STRONG,True,100,-0.002538319192826748,-0.01402212018147111,0.008538754284381847,0.0,-0.016263842582702637,0.5384615384615384,True,0.01,-0.022692888975143433,0.8461538461538461,True,
