condition_a,condition_b,cross_asym_median,directional_score_median,sign_consensus,n_pos,n_neg,classification,direction,upstream,null_p,coupling,pair_status,in_benchmark
IFN-omega,IL-15,0.13072918355464935,0.05461832880973816,0.9444444444444444,17,1,STRONG,a_to_b,IFN-omega,0.0,0.07159830389301415,DIRECTIONAL_a_to_b,True
IL-2,IL-6,0.07935279607772827,0.04943425953388214,0.9411764705882353,16,1,STRONG,a_to_b,IL-2,0.0,0.012232754662956879,,False
IFN-beta,IL-15,0.07134194672107697,0.055036306381225586,0.8333333333333334,15,3,STRONG,a_to_b,IFN-beta,0.0,0.12358360301055335,,False
IFN-beta,IL-6,0.06898465752601624,0.01229444146156311,0.9411764705882353,16,1,STRONG,a_to_b,IFN-beta,0.0,0.015567670722046626,,False
IFN-omega,IL-6,0.06589055061340332,-0.03264777362346649,0.9411764705882353,16,1,STRONG,a_to_b,IFN-omega,0.0,0.015131921005313811,,False
IFN-gamma,IFN-omega,-0.06463208794593811,-0.016121044754981995,0.9444444444444444,1,17,STRONG,b_to_a,IFN-omega,0.0,0.02882696144768725,DIRECTIONAL_b_to_a,True
IL-9,TL1A,-0.06011444330215454,-0.024079203605651855,1.0,0,18,STRONG,b_to_a,TL1A,0.0,0.014917495984422125,,False
IL-12,IL-15,0.05334123224020004,0.10410767793655396,0.8333333333333334,15,3,STRONG,a_to_b,IL-12,0.0,0.042265081689085646,,False
IL-12,IL-9,0.05300963670015335,-0.011715985834598541,0.9444444444444444,17,1,STRONG,a_to_b,IL-12,0.0,0.019047138507923354,WEAK_a_to_b,False
IFN-omega,IL-10,0.0528416708111763,-0.08191846311092377,0.7777777777777778,14,4,STRONG,a_to_b,IFN-omega,0.0,0.0395444658058493,,False
IFN-beta,IFN-gamma,0.04348202049732208,0.0038620084524154663,1.0,18,0,STRONG,a_to_b,IFN-beta,0.0,0.06429304188198369,PARTIAL_INHIBITORY,False
IFN-omega,TNF-alpha,0.041840165853500366,-0.03674480319023132,0.6666666666666666,12,6,WEAK,a_to_b,IFN-omega,0.0,0.017700767201250012,,False
IFN-beta,IL-1-beta,0.04161781072616577,0.009564802050590515,0.8333333333333334,15,3,STRONG,a_to_b,IFN-beta,0.0,0.03714840283374424,,False
IFN-omega,IL-9,0.04075342416763306,-0.028671562671661377,0.8333333333333334,15,3,STRONG,a_to_b,IFN-omega,0.0,0.009425920207539329,,False
IL-1-beta,IL-12,-0.03237888216972351,0.0058714523911476135,1.0,0,18,STRONG,b_to_a,IL-12,0.0,0.01597326957499203,,False
IL-36-alpha,IL-6,0.03194330632686615,-0.006547689437866211,1.0,17,0,STRONG,a_to_b,IL-36-alpha,0.0,0.01745943225434293,WEAK_a_to_b,False
GM-CSF,TNF-alpha,0.02991422638297081,-0.0339098796248436,0.7777777777777778,14,4,STRONG,a_to_b,GM-CSF,0.0,0.023579052050152552,,False
GM-CSF,IL-6,0.02941398322582245,-0.020261481404304504,0.9411764705882353,16,1,STRONG,a_to_b,GM-CSF,0.0,0.017059417400995026,,False
IL-15,TL1A,-0.028858035802841187,0.09287482500076294,0.6666666666666666,6,12,WEAK,b_to_a,TL1A,0.0,0.03874276057695565,,False
IFN-gamma,IL-15,0.028207451105117798,0.08846904337406158,0.6666666666666666,12,6,WEAK,a_to_b,IFN-gamma,0.0,0.08303432826600646,,False
IL-10,IL-27,-0.026752151548862457,-0.03838285803794861,0.6666666666666666,6,12,WEAK,b_to_a,IL-27,0.0,0.020327106790374153,,False
IFN-beta,IL-2,0.02569287270307541,0.034857623279094696,0.8333333333333334,15,3,STRONG,a_to_b,IFN-beta,0.0,0.05675380214562883,WEAK_a_to_b,False
IFN-lambda1,IL-10,0.023064792156219482,-0.04743774235248566,0.8888888888888888,16,2,STRONG,a_to_b,IFN-lambda1,0.0,0.012315067478820033,,False
CD30L,VEGF,0.022822082042694092,-0.0007515847682952881,0.9411764705882353,16,1,STRONG,a_to_b,CD30L,0.0,0.017251021811819596,UNKNOWN,False
IL-6,VEGF,-0.02267509698867798,0.013253837823867798,0.8823529411764706,2,15,STRONG,b_to_a,VEGF,0.0,0.008743101755238097,DIRECTIONAL_a_to_b,True
IFN-lambda1,IL-16,0.021680355072021484,0.001114189624786377,0.9444444444444444,17,1,STRONG,a_to_b,IFN-lambda1,0.0,0.014394647684758122,,False
IL-16,TGF-beta1,-0.021508246660232544,0.004678025841712952,0.8888888888888888,2,16,STRONG,b_to_a,TGF-beta1,0.0,0.01878180073817139,,False
