cell_type,A,B,P_A,P_B,sA_in_PA,sB_in_PA,sA_in_PB,sB_in_PB,sPBS_in_PA,sPBS_in_PB,sA_PA_norm,sA_PB_norm,sB_PA_norm,sB_PB_norm,asym_PA,asym_PB,directional_score,interpretation
mac_c2,PIC,IFNb,IRF3_direct,IFNAR_induced,4.850506782531738,4.066592693328857,3.353830575942993,4.444191932678223,1.7213455438613892,1.2982614040374756,3.129161238670349,2.0555691719055176,2.3452471494674683,3.145930528640747,0.7839140892028809,-1.0903613567352295,1.8742754459381104,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c3,PIC,IFNb,IRF3_direct,IFNAR_induced,4.452889442443848,3.942333221435547,3.265308141708374,4.420743942260742,3.2029869556427,2.2468395233154297,1.2499024868011475,1.0184686183929443,0.7393462657928467,2.1739044189453125,0.5105562210083008,-1.1554358005523682,1.665992021560669,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c2,LPS,IFNb,IRF3_direct,IFNAR_induced,4.89664888381958,4.066592693328857,2.925001382827759,4.444191932678223,1.7213455438613892,1.2982614040374756,3.175303339958191,1.6267399787902832,2.3452471494674683,3.145930528640747,0.8300561904907227,-1.5191905498504639,2.3492467403411865,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c3,LPS,IFNb,IRF3_direct,IFNAR_induced,4.646728515625,3.942333221435547,3.108057975769043,4.420743942260742,3.2029869556427,2.2468395233154297,1.4437415599822998,0.8612184524536133,0.7393462657928467,2.1739044189453125,0.7043952941894531,-1.3126859664916992,2.0170812606811523,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c2,LPS,TNF,NFkB_canonical,TNFR_autocrine,1.7623592615127563,1.3067600727081299,2.7216038703918457,2.173146963119507,0.8244009017944336,0.7785634398460388,0.9379583597183228,1.9430404305458069,0.4823591709136963,1.394583523273468,0.45559918880462646,0.5484569072723389,-0.0928577184677124,B->A (reverse direction would be implied)
mac_c3,LPS,TNF,NFkB_canonical,TNFR_autocrine,3.087554693222046,2.2530295848846436,2.7471280097961426,2.416478157043457,2.5592048168182373,1.4477524757385254,0.5283498764038086,1.2993755340576172,-0.30617523193359375,0.9687256813049316,0.8345251083374023,0.33064985275268555,0.5038752555847168,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c1,LPSlo,TNF,NFkB_canonical,TNFR_autocrine,3.0936439037323,2.4278624057769775,2.6462955474853516,2.4899728298187256,0.9850967526435852,0.7993537187576294,2.1085471510887146,1.8469418287277222,1.4427656531333923,1.6906191110610962,0.6657814979553223,0.15632271766662598,0.5094587802886963,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c3,LPSlo,TNF,NFkB_canonical,TNFR_autocrine,3.450512409210205,2.2530295848846436,2.7716057300567627,2.416478157043457,2.5592048168182373,1.4477524757385254,0.8913075923919678,1.3238532543182373,-0.30617523193359375,0.9687256813049316,1.1974828243255615,0.35512757301330566,0.8423552513122559,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c0,P3CSK,TNF,NFkB_canonical,TNFR_autocrine,1.56691312789917,1.6218806505203247,1.8186405897140503,2.041285753250122,0.912979781627655,0.8782641887664795,0.6539333462715149,0.9403764009475708,0.7089008688926697,1.1630215644836426,-0.054967522621154785,-0.22264516353607178,0.167677640914917,"A->B (cascade A drives B's pathway, not vice versa)"
mac_c1,P3CSK,TNF,NFkB_canonical,TNFR_autocrine,3.207474946975708,2.4278624057769775,2.766289234161377,2.4899728298187256,0.9850967526435852,0.7993537187576294,2.222378194332123,1.9669355154037476,1.4427656531333923,1.6906191110610962,0.7796125411987305,0.27631640434265137,0.5032961368560791,"A->B (cascade A drives B's pathway, not vice versa)"
